,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst,Released_dt,year,franchise
1336,"Feb 1, 2013","Jan 31, 2013",Bullet to the Head,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,55000000,2404,2404,5503,4548201,9489829,10692102,13108140,22597969,tt1308729,2013-02-01 00:00:00,2013,0
55,"Jul 30, 2010","Jul 30, 2010",Cats & Dogs: The Revenge of Kitty Galore,Warner Bros.,Adventure,Original Screenplay,Live Action,Kids Fiction,85000000,3705,3705,14432,12279363,43585753,50601461,69440630,113026383,tt1287468,2010-07-30 00:00:00,2010,1
743,"Jun 17, 2016","Jun 16, 2016",Central Intelligence,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,50000000,3508,3508,18681,35535250,127440871,134954729,89753934,217194805,tt1489889,2016-06-17 00:00:00,2016,0
1190,"May 25, 2012","May 24, 2012",Chernobyl Diaries,Warner Bros.,Horror,Original Screenplay,Live Action,Science Fiction,1000000,2433,2433,6747,7955307,18119640,20851238,24292081,42411721,tt1991245,2012-05-25 00:00:00,2012,0
1613,"Mar 24, 2017","Mar 23, 2017",CHiPS,Warner Bros.,Action,Based on TV,Live Action,Contemporary Fiction,25000000,2464,2464,7413,7722802,18600152,18994139,4590140,23190292,tt0493405,2017-03-24 00:00:00,2017,0
302,"Apr 1, 2010","Apr 1, 2010",Clash of the Titans,Warner Bros.,Action,Remake,Live Action,Fantasy,125000000,3777,3802,22766,61235105,163214888,189486490,330000000,493214888,tt0800320,2010-04-01 00:00:00,2010,0
1248,"Oct 26, 2012","Oct 26, 2012",Cloud Atlas,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Multiple Creative Types,102000000,2008,2023,8175,9612247,27108272,31190002,103564882,130673154,tt1371111,2012-10-26 00:00:00,2012,0
778,"Dec 16, 2016","Dec 16, 2016",Collateral Beauty,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,36000000,3528,3528,11425,7102085,31016021,32592599,54293072,85309093,tt4682786,2016-12-16 00:00:00,2016,0
388,"Sep 9, 2011","Sep 9, 2011",Contagion,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,60000000,3222,3222,18970,22403596,75658097,87393215,61893497,137551594,tt1598778,2011-09-09 00:00:00,2011,0
1080,"Feb 26, 2010","Feb 26, 2010",Cop Out,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,37000000,3150,3150,12495,18211126,44875481,52098782,11034429,55909910,tt1385867,2010-02-26 00:00:00,2010,0
