,mid,title,released,director,boxoffice,inf_adj_boxoffice,cr,wicar
1525,tt8367084,Then Came You,10-02-2020,Adriana Trigiani,0,0,1009301,781047.5789
3377,tt1068250,Hantu,08-01-2007,Adrianto Sinaga,0,0,0,0
800,tt9001594,Home,12-15-2020,Adriel Roman,0,0,0,0
531,tt0473308,Waitress,05-25-2007,Adrienne Shelly,"$19,074,800",24709495.92,0,0
1943,tt10499474,10 Days in Sun City,06-17-2017,Adze Ugah,0,0,0,0
31,tt1291570,Solace,12-16-2016,Afonso Poyart,0,0,0,0
974,tt1034306,Dorothy Mills,08-06-2008,Agnès Merlet,0,0,0,0
1448,tt0093371,Kung-fu master!,11-01-1989,Agnès Varda,0,0,0,0
3930,tt0112654,Les cent et une nuits de Simon Cinéma,01-25-1995,Agnès Varda,0,0,0,0
2612,tt14020408,Cycle,06-28-2013,Agni,0,0,0,0
912,tt10428942,Tamassu,06-11-2010,Agni Shridhar,0,0,0,0
1745,tt2720660,A Political Murder,07-02-2013,Agnidev Chatterjee,0,0,0,0
434,tt0096280,To Kill a Priest,10-13-1989,Agnieszka Holland,0,0,0,0
3114,tt0102583,"Olivier, Olivier",03-03-1993,Agnieszka Holland,"$1,154,476",1836540.421,0,0
2804,tt0108071,The Secret Garden,08-13-1993,Agnieszka Holland,"$31,181,347",49603286.81,1154476,84.47838674
1903,tt0114702,Total Eclipse,11-03-1995,Agnieszka Holland,"$340,139",526739.2554,32335823,4656.506726
2858,tt0120481,Washington Square,10-10-1997,Agnieszka Holland,"$1,851,761",2789492.77,32675962,101.8054545
519,tt0246719,Julie Walking Home,09-05-2003,Agnieszka Holland,0,0,34527723,4542.61374
3162,tt0424908,Copying Beethoven,03-08-2007,Agnieszka Holland,"$384,029",497471.1666,34527723,30.80905449
1277,tt1417075,In Darkness,01-05-2012,Agnieszka Holland,"$1,041,455",1239227.305,34911752,20075.99921
2997,tt0838247,After.Life,12-16-2009,Agnieszka Wojtowicz-Vosloo,"$108,595",136091.254,0,0
182,tt6718730,Born a King,09-26-2019,Agustí Villaronga,0,0,0,0
